"PUF_ID","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FSscore","KHscore"
10350,"Age 62+ oversample","200%+ FPL","5","5","6","55","44",1.267
7740,"General population","200%+ FPL","6","6","6","51","43",-0.57
13699,"General population","200%+ FPL","4","3","4","49","42",-0.188
7267,"General population","200%+ FPL","6","6","6","49","42",-1.485
7375,"General population","200%+ FPL","4","4","4","49","42",-1.9
10910,"General population","200%+ FPL","5","7 Strongly agree","5","67","57",0.242
11079,"General population","200%+ FPL","5","4","7 Strongly agree","51","54",1.267
7741,"General population","200%+ FPL","2","2","2","47","35",-0.909
8303,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","43","58",-0.188
9688,"General population","200%+ FPL","4","5","4","58","42",-0.57
13180,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","78","66",-0.188
10127,"General population","200%+ FPL","5","7 Strongly agree","7 Strongly agree","62","57",0.242
7852,"General population","100%-199% FPL","5","6","7 Strongly agree","50","49",-0.909
7376,"General population","200%+ FPL","1 Strongly disagree","1 Strongly disagree","1 Strongly disagree","40","30",-0.57
8304,"General population","200%+ FPL","5","7 Strongly agree","7 Strongly agree","61","71",0.712
11726,"General population","<100% FPL","7 Strongly agree","6","7 Strongly agree","69","48",-1.215
11221,"General population","<100% FPL","3","5","4","37","32",-0.909
8121,"General population","200%+ FPL","5","5","5","52","40",-1.215
8122,"General population","200%+ FPL","7 Strongly agree","6","7 Strongly agree","69","50",0.712
12990,"Age 62+ oversample","100%-199% FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","67","79",-0.57
10548,"General population","200%+ FPL","3","2","2","40","38",-0.188
13389,"General population","200%+ FPL","4","4","4","51","41",-1.215
10351,"Age 62+ oversample","200%+ FPL","5","5","5","61","54",1.267
13255,"General population","200%+ FPL","5","3","4","37","49",1.267
7853,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","47","75",-1.9
12675,"General population","200%+ FPL","7 Strongly agree","7 Strongly agree","7 Strongly agree","64","68",0.712
11353,"General population","200%+ FPL","7 Strongly agree","6","6","80","51",1.267
9433,"General population","200%+ FPL","5","6","6","63","50",-0.188
12518,"General population","200%+ FPL","5","5","4","52","61",0.242
